date_long,julian_day,z_dawn,y_call,x_dance,dawn_to_dance,w_land,duration_dance,u_end,duration_collpa
6/22/99,172,5:36:00,NA,NA,NA,6:42:00,NA,7:08:00,0:26:00
6/23/99,173,5:36:00,5:45:00,NA,NA,6:46:00,NA,7:23:00,0:37:00
6/25/99,175,5:37:00,5:55:00,6:36:00,0:59:00,6:51:00,0:15:00,7:31:00,0:40:00
6/27/99,177,5:37:00,5:42:00,6:24:00,0:47:00,6:31:00,0:07:00,7:18:00,0:47:00
6/29/99,179,5:37:00,5:47:00,6:21:00,0:44:00,6:40:00,0:19:00,7:15:00,0:35:00
7/1/99,181,5:38:00,NA,6:15:00,NA,6:20:00,NA,NA,NA
7/3/99,183,5:38:00,5:47:00,6:18:00,0:40:00,6:19:00,0:01:00,7:12:00,0:53:00
7/4/99,184,5:38:00,6:01:00,6:31:00,0:53:00,6:38:00,0:07:00,7:44:00,1:06:00
7/6/99,186,5:38:00,5:37:00,6:23:00,0:45:00,6:25:00,0:02:00,7:06:00,0:41:00
7/7/99,187,5:38:00,5:42:00,6:44:00,1:06:00,NA,NA,NA,NA
7/8/99,188,5:38:00,5:46:00,6:10:00,0:32:00,6:20:00,0:10:00,7:27:00,1:07:00
7/9/99,189,5:39:00,5:45:00,6:13:00,0:34:00,6:16:00,0:03:00,7:13:00,0:57:00
7/10/99,190,5:39:00,5:46:00,6:19:00,0:40:00,6:22:00,0:03:00,7:15:00,0:53:00
7/11/99,191,5:39:00,5:45:00,6:16:00,0:37:00,6:18:00,0:02:00,6:50:00,0:32:00
7/12/99,192,5:39:00,5:47:00,6:22:00,0:43:00,6:22:00,0:00:00,6:52:00,0:30:00
7/13/99,193,5:39:00,5:46:00,6:16:00,0:37:00,6:22:00,0:06:00,7:06:00,0:44:00
7/14/99,194,5:39:00,5:41:00,6:15:00,0:36:00,6:18:00,0:03:00,7:19:00,1:01:00
7/19/99,199,5:38:00,5:53:00,6:35:00,0:57:00,6:42:00,0:07:00,7:28:00,0:46:00
7/21/99,201,5:38:00,5:48:00,6:13:00,0:35:00,6:15:00,0:02:00,6:59:00,0:44:00
7/22/99,202,5:38:00,5:59:00,6:20:00,0:42:00,6:23:00,0:03:00,7:08:00,0:45:00
7/23/99,203,5:38:00,5:48:00,6:16:00,0:38:00,6:18:00,0:02:00,7:02:00,0:44:00
7/24/99,204,5:38:00,5:38:00,6:11:00,0:33:00,6:11:00,0:00:00,7:13:00,1:02:00
7/26/99,206,5:37:00,5:40:00,6:05:00,0:28:00,6:06:00,0:01:00,7:31:00,1:25:00
7/31/99,211,5:36:00,5:33:00,6:10:00,0:34:00,6:21:00,0:11:00,7:24:00,1:03:00
8/1/99,212,5:36:00,5:43:00,6:05:00,0:29:00,6:06:00,0:01:00,6:58:00,0:52:00
8/2/99,213,5:36:00,5:37:00,6:10:00,0:34:00,6:13:00,0:03:00,6:54:00,0:41:00
8/3/99,214,5:35:00,5:35:00,6:19:00,0:44:00,6:21:00,0:02:00,7:20:00,0:59:00
8/4/99,215,5:35:00,5:32:00,6:04:00,0:29:00,6:05:00,0:01:00,7:19:00,1:14:00
8/5/99,216,5:35:00,5:35:00,6:06:00,0:31:00,6:13:00,0:07:00,6:57:00,0:44:00
8/6/99,217,5:34:00,5:35:00,6:04:00,0:30:00,6:05:00,0:01:00,7:27:00,1:22:00
8/7/99,218,5:34:00,5:26:00,6:07:00,0:33:00,6:12:00,0:05:00,7:30:00,1:18:00
8/8/99,219,5:34:00,5:40:00,6:15:00,0:41:00,6:16:00,0:01:00,7:04:00,0:48:00
8/9/99,220,5:33:00,5:41:00,6:17:00,0:44:00,6:20:00,0:03:00,7:16:00,0:56:00
8/10/99,221,5:33:00,5:37:00,6:09:00,0:36:00,6:09:00,0:00:00,7:09:00,1:00:00
8/11/99,222,5:32:00,5:30:00,6:06:00,0:34:00,6:11:00,0:05:00,6:58:00,0:47:00
8/12/99,223,5:32:00,5:27:00,6:08:00,0:36:00,6:11:00,0:03:00,7:39:00,1:28:00
8/13/99,224,5:32:00,5:29:00,NA,NA,6:07:00,NA,7:31:00,1:24:00
8/14/99,225,5:31:00,5:34:00,NA,NA,6:06:00,NA,6:42:00,0:36:00
8/15/99,226,5:31:00,NA,6:14:00,NA,6:23:00,0:09:00,7:42:00,1:19:00
8/16/99,227,5:30:00,5:37:00,6:14:00,0:44:00,6:15:00,0:01:00,7:08:00,0:53:00
8/17/99,228,5:30:00,5:37:00,6:04:00,0:34:00,6:11:00,0:07:00,7:08:00,0:57:00
8/19/99,230,5:29:00,5:35:00,6:01:00,0:32:00,6:14:00,0:13:00,7:04:00,0:50:00
8/20/99,231,5:28:00,5:32:00,5:59:00,0:31:00,6:00:00,0:01:00,7:09:00,1:09:00
8/21/99,232,5:28:00,5:33:00,5:59:00,0:31:00,6:01:00,0:02:00,7:18:00,1:17:00
8/22/99,233,5:27:00,5:30:00,6:08:00,0:41:00,6:16:00,0:08:00,7:17:00,1:01:00
8/23/99,234,5:26:00,5:27:00,NA,NA,5:55:00,NA,7:04:00,1:09:00
8/24/99,235,5:26:00,5:25:00,NA,NA,6:04:00,NA,6:53:00,0:49:00
8/25/99,236,5:25:00,5:30:00,6:01:00,0:36:00,6:07:00,0:06:00,6:48:00,0:41:00
8/26/99,237,5:25:00,5:27:00,NA,NA,6:07:00,NA,6:28:00,0:21:00
8/27/99,238,5:24:00,5:33:00,NA,NA,6:00:00,NA,6:59:00,0:59:00
8/29/99,240,5:23:00,5:30:00,NA,NA,5:57:00,NA,7:08:00,1:11:00
8/30/99,241,5:22:00,5:28:00,5:56:00,0:34:00,6:01:00,0:05:00,7:02:00,1:01:00
9/1/99,243,5:21:00,5:18:00,5:53:00,0:32:00,5:54:00,0:01:00,7:18:00,1:24:00
9/2/99,244,5:20:00,5:16:00,5:55:00,0:35:00,5:58:00,0:03:00,6:21:00,0:23:00
9/4/99,246,5:19:00,5:27:00,5:54:00,0:35:00,5:56:00,0:02:00,6:31:00,0:35:00
9/6/99,248,5:18:00,NA,5:51:00,NA,5:52:00,0:01:00,7:02:00,1:10:00
9/7/99,249,5:17:00,5:12:00,5:49:00,0:32:00,5:50:00,0:01:00,7:01:00,1:11:00
9/8/99,250,5:16:00,5:09:00,5:48:00,0:32:00,5:48:00,0:00:00,6:58:00,1:10:00
9/9/99,251,5:16:00,5:08:00,5:53:00,0:37:00,5:53:00,0:00:00,7:05:00,1:12:00
9/11/99,253,5:14:00,5:22:00,5:45:00,0:31:00,5:46:00,0:01:00,6:30:00,0:44:00
9/12/99,254,5:14:00,5:03:00,5:41:00,0:27:00,5:43:00,0:02:00,6:23:00,0:40:00
9/13/99,255,5:13:00,5:05:00,5:42:00,0:29:00,5:46:00,0:04:00,7:02:00,1:16:00
9/15/99,257,5:12:00,5:18:00,6:09:00,0:57:00,6:14:00,0:05:00,6:49:00,0:35:00
9/17/99,259,5:10:00,5:15:00,5:42:00,0:32:00,5:44:00,0:02:00,7:02:00,1:18:00
9/18/99,260,5:09:00,5:05:00,5:45:00,0:36:00,5:49:00,0:04:00,6:20:00,0:31:00
9/21/99,263,5:07:00,5:12:00,5:43:00,0:36:00,5:49:00,0:06:00,6:36:00,0:47:00
9/22/99,264,5:07:00,5:10:00,5:43:00,0:36:00,5:45:00,0:02:00,6:53:00,1:08:00
9/23/99,265,5:06:00,5:06:00,5:41:00,0:35:00,5:43:00,0:02:00,6:43:00,1:00:00
9/24/99,266,5:05:00,5:05:00,5:29:00,0:24:00,5:35:00,0:06:00,6:19:00,0:44:00
9/25/99,267,5:04:00,5:01:00,5:34:00,0:30:00,5:37:00,0:03:00,6:12:00,0:35:00
9/27/99,269,5:03:00,5:01:00,5:38:00,0:35:00,5:39:00,0:01:00,6:59:00,1:20:00
9/28/99,270,5:02:00,5:09:00,5:53:00,0:51:00,6:02:00,0:09:00,6:33:00,0:31:00
9/29/99,271,5:02:00,5:09:00,NA,NA,5:26:00,NA,6:53:00,1:27:00
9/30/99,272,5:01:00,4:55:00,5:32:00,0:31:00,5:36:00,0:04:00,6:39:00,1:03:00
