DATE,HOUR,MORNmin,MORNmax,TIME_rel,SPP,RGMA,BYMA,SCMA,GRMA,MEPA,YCPA,BHPA,OCPA,DHPA,CWPA,DBPA,WEPA,WBPA
23-Jun-99,6:46,6:46,7:21,0,1,,7,6,,,,,,,,,,
23-Jun-99,6:51,6:46,7:21,0.142857143,1,1,10,15,,,,,,,,,,
23-Jun-99,6:56,6:46,7:21,0.285714286,1,,5,7,,89,,100,,,,,,
23-Jun-99,7:01,6:46,7:21,0.428571429,1,2,5,7,,51,,50,,,,,,
23-Jun-99,7:06,6:46,7:21,0.571428571,1,3,5,11,,56,,24,,,,,,
23-Jun-99,7:11,6:46,7:21,0.714285714,1,1,7,4,,57,,5,,,,,,
23-Jun-99,7:16,6:46,7:21,0.857142857,1,2,3,,,30,,2,,,,,,
23-Jun-99,7:21,6:46,7:21,1,1,,3,,,13,,,,,,,,
25-Jun-99,6:56,6:56,7:31,0,1,2,22,12,48,115,,139,,,,,,
25-Jun-99,7:01,6:56,7:31,0.142857143,1,2,12,7,36,127,,148,,,,,,
25-Jun-99,7:06,6:56,7:31,0.285714286,1,,3,8,18,143,,85,,,,,,
25-Jun-99,7:11,6:56,7:31,0.428571429,1,2,4,6,20,79,,34,,,,,,
25-Jun-99,7:16,6:56,7:31,0.571428571,1,6,4,2,14,74,,14,,,,,,
25-Jun-99,7:21,6:56,7:31,0.714285714,1,6,8,2,6,91,,8,,,,,,
25-Jun-99,7:26,6:56,7:31,0.857142857,1,3,9,2,5,55,,15,,,,,,
25-Jun-99,7:31,6:56,7:31,1,,,,,,,,1,,,,,,
27-Jun-99,6:36,6:36,7:16,0,1,,2,,,,4,61,,,,,,
27-Jun-99,6:41,6:36,7:16,0.125,1,,9,4,113,10,,70,,,,,,
27-Jun-99,6:46,6:36,7:16,0.25,1,,9,4,,64,,198,,,,,,
27-Jun-99,6:51,6:36,7:16,0.375,1,1,2,3,12,2,,13,,,,,,
27-Jun-99,6:56,6:36,7:16,0.5,1,,9,,,14,,,,,,,,
27-Jun-99,7:01,6:36,7:16,0.625,1,,1,,11,40,,27,,,,,,
27-Jun-99,7:06,6:36,7:16,0.75,1,2,4,8,7,60,,20,,,,,,
27-Jun-99,7:11,6:36,7:16,0.875,1,,4,,14,9,,10,,,,,,
27-Jun-99,7:16,6:36,7:16,1,1,,3,2,11,,,14,,,,,,
29-Jun-99,6:40,6:40,7:15,0,1,,2,,7,55,,44,,,,,,
29-Jun-99,6:45,6:40,7:15,0.142857143,1,,6,6,37,72,,174,,,,,,
29-Jun-99,6:50,6:40,7:15,0.285714286,1,,8,5,62,134,,186,,,,,,
29-Jun-99,6:55,6:40,7:15,0.428571429,1,,10,7,24,217,,40,,,,,,
29-Jun-99,7:00,6:40,7:15,0.571428571,1,,13,2,23,87,,44,,,,,,
29-Jun-99,7:05,6:40,7:15,0.714285714,1,,8,2,13,19,,2,,,,,,
29-Jun-99,7:10,6:40,7:15,0.857142857,1,,7,2,7,82,,,,,,,,
29-Jun-99,7:15,6:40,7:15,1,1,,9,4,6,56,,,,,,,,
29-Jun-99,15:15,6:40,7:15,14.71428571,,,,,,,,,,,100,,,
3-Jul-99,6:19,6:19,7:09,0,1,,,,1,,,14,,,,,,
3-Jul-99,6:24,6:19,7:09,0.1,,,,,,,,,,,,,,
3-Jul-99,6:29,6:19,7:09,0.2,1,,,,4,2,5,7,,,,,,
3-Jul-99,6:34,6:19,7:09,0.3,,,,,,,,,,,,,,
3-Jul-99,6:39,6:19,7:09,0.4,,,,,,,,,,,,,,
3-Jul-99,6:44,6:19,7:09,0.5,,,,,,,,,,,,,,
3-Jul-99,6:49,6:19,7:09,0.6,,,,,,,,,,,,,,
3-Jul-99,6:54,6:19,7:09,0.7,,,,,,,,,,,,,,
3-Jul-99,6:59,6:19,7:09,0.8,,,,,,,,,,,,,,
3-Jul-99,7:04,6:19,7:09,0.9,,,,,,,,,,,,,,
3-Jul-99,7:09,6:19,7:09,1,,,,,,,,7,,,,,,
3-Jul-99,9:28,6:19,7:09,3.78,,,4,,,,,,,,,,,
3-Jul-99,9:33,6:19,7:09,3.88,1,6,12,8,,,,,,,,,,
3-Jul-99,9:38,6:19,7:09,3.98,1,8,18,12,,,,,,,,,,
3-Jul-99,9:43,6:19,7:09,4.08,1,11,25,13,,,,,,,,,,
3-Jul-99,9:48,6:19,7:09,4.18,1,6,16,11,8,,,,,,,,,
4-Jul-99,6:43,6:43,7:43,0,,,,,,,,,,,,,,
4-Jul-99,6:48,6:43,7:43,0.083333333,1,,,,1,1,10,95,,,,,,
4-Jul-99,6:53,6:43,7:43,0.166666667,1,,1,,2,17,14,217,,,,,,
4-Jul-99,6:58,6:43,7:43,0.25,1,,3,,7,29,14,184,,,,,,
4-Jul-99,7:03,6:43,7:43,0.333333333,1,,2,,4,49,17,160,,,,,,
4-Jul-99,7:08,6:43,7:43,0.416666667,1,,,,,19,,93,,,,,,
4-Jul-99,7:13,6:43,7:43,0.5,1,,1,,3,52,,89,4,,,,,
4-Jul-99,7:18,6:43,7:43,0.583333333,1,,,,1,27,,34,,,,,,
4-Jul-99,7:23,6:43,7:43,0.666666667,1,,,,1,41,,44,,,,,,
4-Jul-99,7:28,6:43,7:43,0.75,1,,,,,6,,12,,,,,,
4-Jul-99,7:33,6:43,7:43,0.833333333,1,,,,,5,,15,,,,,,
4-Jul-99,7:38,6:43,7:43,0.916666667,1,,,,,3,,14,,,,,,
4-Jul-99,7:43,6:43,7:43,1,,,,,,,,13,,,,,,
6-Jul-99,6:30,6:30,7:05,0,1,,7,,16,1,15,140,,,,,,
6-Jul-99,6:35,6:30,7:05,0.142857143,1,,8,,13,2,24,150,,,,,,
6-Jul-99,6:40,6:30,7:05,0.285714286,1,,4,,3,3,19,90,,,,,8,
6-Jul-99,6:45,6:30,7:05,0.428571429,1,,5,,3,6,20,73,,,,,9,
6-Jul-99,6:50,6:30,7:05,0.571428571,1,,,,2,1,2,26,,,,,14,
6-Jul-99,6:55,6:30,7:05,0.714285714,1,,,,8,,3,38,,,,,5,
6-Jul-99,7:00,6:30,7:05,0.857142857,1,,,,7,1,5,43,,,,,,
6-Jul-99,7:05,6:30,7:05,1,,,,,,,,1,,,,,,
7-Jul-99,8:06,8:06,0:00,0,1,,,,,,,,,10,,,,5
7-Jul-99,8:11,8:06,0:00,-0.010288066,1,,,,,,,3,,18,,,,6
7-Jul-99,9:22,8:06,0:00,-0.156378601,1,3,4,4,,,,,,,,,,
8-Jul-99,6:25,6:25,7:25,0,1,,4,,30,6,80,300,,,,,,
8-Jul-99,6:30,6:25,7:25,0.083333333,1,,7,,44,12,77,260,,,,,,
8-Jul-99,6:35,6:25,7:25,0.166666667,1,,18,,28,14,39,210,,,,,,
8-Jul-99,6:40,6:25,7:25,0.25,1,,5,,,43,35,160,,,,,,
8-Jul-99,6:45,6:25,7:25,0.333333333,1,,7,,16,46,3,29,,,,,,
8-Jul-99,6:50,6:25,7:25,0.416666667,1,,1,,6,35,,25,,,,,,
8-Jul-99,6:55,6:25,7:25,0.5,1,,4,3,8,67,1,33,,,,,,
8-Jul-99,7:00,6:25,7:25,0.583333333,1,,,2,9,67,,20,,,,,,
8-Jul-99,7:05,6:25,7:25,0.666666667,1,,6,2,17,65,1,18,,,,,,
8-Jul-99,7:10,6:25,7:25,0.75,1,,8,2,22,24,7,16,,,,,,
8-Jul-99,7:15,6:25,7:25,0.833333333,1,,3,2,7,17,,,,,,,,
8-Jul-99,7:20,6:25,7:25,0.916666667,1,,6,2,16,18,,4,,,,,,
8-Jul-99,7:25,6:25,7:25,1,1,,6,2,5,,,,,,,,,
8-Jul-99,10:21,6:25,7:25,3.933333333,1,6,4,,,,,,,,,,,
8-Jul-99,10:22,6:25,7:25,3.95,,,,,,,,,,,,,,
8-Jul-99,10:23,6:25,7:25,3.966666667,1,3,7,,,,,,,,,,,
8-Jul-99,10:24,6:25,7:25,3.983333333,1,1,9,3,,,,,,,,,,
8-Jul-99,10:25,6:25,7:25,4,1,2,15,,,,,,,,,,,
8-Jul-99,11:22,6:25,7:25,4.95,,1,,,,,,,,,,,,
8-Jul-99,11:23,6:25,7:25,4.966666667,1,8,7,,,,,,,,,,,
8-Jul-99,11:24,6:25,7:25,4.983333333,1,10,10,,,,,,,,,,,
8-Jul-99,11:25,6:25,7:25,5,1,8,2,1,,,,,,,,,,
8-Jul-99,11:26,6:25,7:25,5.016666667,1,10,15,,,,,,,,,,,
8-Jul-99,11:27,6:25,7:25,5.033333333,1,10,9,,,,,,,,,,,
8-Jul-99,11:28,6:25,7:25,5.05,1,8,8,,,,,,,,,,,
8-Jul-99,11:29,6:25,7:25,5.066666667,1,14,10,4,,,,,,,,,,
8-Jul-99,11:30,6:25,7:25,5.083333333,1,8,12,2,,,,,,,,,,
8-Jul-99,11:31,6:25,7:25,5.1,1,12,15,,,,,,,,,,,
8-Jul-99,11:32,6:25,7:25,5.116666667,1,15,20,,,,,,,,,,,
8-Jul-99,11:33,6:25,7:25,5.133333333,1,13,17,,,,,,,,,,,
8-Jul-99,11:34,6:25,7:25,5.15,1,9,18,1,,,,,,,,,,
8-Jul-99,11:35,6:25,7:25,5.166666667,1,14,18,,,,,,,,,,,
8-Jul-99,11:36,6:25,7:25,5.183333333,1,15,14,1,,,,,,,,,,
8-Jul-99,11:37,6:25,7:25,5.2,1,14,15,,,,,,,,,,,
8-Jul-99,11:38,6:25,7:25,5.216666667,1,19,22,1,,,,,,,,,,
8-Jul-99,11:39,6:25,7:25,5.233333333,1,12,24,,,,,,,,,,,
9-Jul-99,6:21,6:21,7:11,0,1,,2,,38,1,40,110,,,,,,
9-Jul-99,6:26,6:21,7:11,0.1,1,,8,,66,2,47,70,,,,,,
