HIERARCHY,ORDER,WIN,LOSE,PAIR,CT,CTinv,tot,winrt_p,rank_q,winrt_sd,SoS,winrt_pa
1,1,CWPA,rgma,CWPArgma,0,32,32,0,14,0,0.822916667,0
1,2,CWPA,cfma,CWPAcfma,0,4,4,0,8,0,0.49122807,0
2,3,OCPA,mepa,OCPAmepa,0,3,3,0,11,0,0.797814208,0
3,4,DHPA,ycpa,DHPAycpa,0,22,22,0,10,0,0.7375,0
3,5,DHPA,bhpa,DHPAbhpa,1,7,8,0.125,4,0.116926793,0.041522491,0.005190311
3,6,DHPA,mepa,DHPAmepa,0,8,8,0,11,0,0.797814208,0
3,7,DHPA,rbma,DHPArbma,0,1,1,0,7,0,0.117647059,0
3,8,DHPA,wbpa,DHPAwbpa,0,1,1,0,5,0,1,0
3,9,DHPA,wepa,DHPAwepa,0,1,1,0,6,0,0.033333333,0
4,10,BHPA,byma,BHPAbyma,0,108,108,0,12,0,0.8,0
4,11,BHPA,mepa,BHPAmepa,3,89,92,0.032608696,11,0.018517139,0.797814208,0.026015681
4,12,BHPA,ycpa,BHPAycpa,1,36,37,0.027027027,10,0.026659295,0.7375,0.019932432
4,13,BHPA,scma,BHPAscma,0,25,25,0,13,0,0.678571429,0
4,14,BHPA,cfma,BHPAcfma,1,16,17,0.058823529,8,0.057067206,0.49122807,0.028895769
4,15,BHPA,dhpa,BHPAdhpa,7,1,8,0.875,3,0.116926793,0.024390244,0.021341463
4,16,BHPA,rbma,BHPArbma,0,1,1,0,7,0,0.117647059,0
4,17,BHPA,rgma,BHPArgma,0,1,1,0,14,0,0.822916667,0
5,18,WBPA,dhpa,WBPAdhpa,1,0,1,1,3,0,0.024390244,0.024390244
6,19,WEPA,mepa,WEPAmepa,0,24,24,0,11,0,0.797814208,0
6,20,WEPA,cfma,WEPAcfma,0,5,5,0,8,0,0.49122807,0
6,21,WEPA,dhpa,WEPAdhpa,1,0,1,1,3,0,0.024390244,0.024390244
7,22,RBMA,byma,RBMAbyma,0,11,11,0,12,0,0.8,0
7,23,RBMA,mepa,RBMAmepa,0,3,3,0,11,0,0.797814208,0
7,24,RBMA,bhpa,RBMAbhpa,1,0,1,1,4,0,0.041522491,0.041522491
7,25,RBMA,dhpa,RBMAdhpa,1,0,1,1,3,0,0.024390244,0.024390244
7,26,RBMA,ycpa,RBMAycpa,0,1,1,0,10,0,0.7375,0
8,27,CFMA,bhpa,CFMAbhpa,16,1,17,0.941176471,4,0.057067206,0.041522491,0.039079992
8,28,CFMA,byma,CFMAbyma,0,16,16,0,12,0,0.8,0
8,29,CFMA,mepa,CFMAmepa,1,12,13,0.076923077,11,0.073905302,0.797814208,0.061370324
8,30,CFMA,wepa,CFMAwepa,5,0,5,1,6,0,0.033333333,0.033333333
8,31,CFMA,cwpa,CFMAcwpa,4,0,4,1,1,0,0,0
8,32,CFMA,ycpa,CFMAycpa,2,0,2,1,10,0,0.7375,0.7375
10,33,YCPA,bhpa,YCPAbhpa,36,1,37,0.972972973,4,0.026659295,0.041522491,0.040400262
10,34,YCPA,dhpa,YCPAdhpa,22,0,22,1,3,0,0.024390244,0.024390244
10,35,YCPA,byma,YCPAbyma,0,15,15,0,12,0,0.8,0
10,36,YCPA,mepa,YCPAmepa,0,3,3,0,11,0,0.797814208,0
10,37,YCPA,cfma,YCPAcfma,0,2,2,0,8,0,0.49122807,0
10,38,YCPA,rbma,YCPArbma,1,0,1,1,7,0,0.117647059,0.117647059
11,39,MEPA,bhpa,MEPAbhpa,89,3,92,0.967391304,4,0.018517139,0.041522491,0.040168497
11,40,MEPA,wepa,MEPAwepa,24,0,24,1,6,0,0.033333333,0.033333333
11,41,MEPA,byma,MEPAbyma,3,16,19,0.157894737,12,0.083654675,0.8,0.126315789
11,42,MEPA,scma,MEPAscma,1,17,18,0.055555556,13,0.053990295,0.678571429,0.037698413
11,43,MEPA,cfma,MEPAcfma,12,1,13,0.923076923,8,0.073905302,0.49122807,0.453441296
11,44,MEPA,dhpa,MEPAdhpa,8,0,8,1,3,0,0.024390244,0.024390244
11,45,MEPA,rbma,MEPArbma,3,0,3,1,7,0,0.117647059,0.117647059
11,46,MEPA,ycpa,MEPAycpa,3,0,3,1,10,0,0.7375,0.7375
11,47,MEPA,ocpa,MEPAocpa,3,0,3,1,2,0,0,0
12,48,BYMA,bhpa,BYMAbhpa,108,0,108,1,4,0,0.041522491,0.041522491
12,49,BYMA,scma,BYMAscma,8,23,31,0.258064516,13,0.078589834,0.678571429,0.175115207
12,50,BYMA,rgma,BYMArgma,6,19,25,0.24,14,0.085416626,0.822916667,0.1975
12,51,BYMA,mepa,BYMAmepa,16,3,19,0.842105263,11,0.083654675,0.797814208,0.671843543
12,52,BYMA,cfma,BYMAcfma,16,0,16,1,8,0,0.49122807,0.49122807
12,53,BYMA,ycpa,BYMAycpa,15,0,15,1,10,0,0.7375,0.7375
12,54,BYMA,rbma,BYMArbma,11,0,11,1,7,0,0.117647059,0.117647059
13,55,SCMA,rgma,SCMArgma,11,27,38,0.289473684,14,0.073570351,0.822916667,0.238212719
13,56,SCMA,byma,SCMAbyma,23,8,31,0.741935484,12,0.078589834,0.8,0.593548387
13,57,SCMA,bhpa,SCMAbhpa,25,0,25,1,4,0,0.041522491,0.041522491
13,58,SCMA,mepa,SCMAmepa,17,1,18,0.944444444,11,0.053990295,0.797814208,0.753491196
14,59,RGMA,scma,RGMAscma,27,11,38,0.710526316,13,0.073570351,0.678571429,0.482142857
14,60,RGMA,cwpa,RGMAcwpa,32,0,32,1,1,0,0,0
14,61,RGMA,byma,RGMAbyma,19,6,25,0.76,12,0.085416626,0.8,0.608
14,62,RGMA,bhpa,RGMAbhpa,1,0,1,1,4,0,0.041522491,0.041522491
