SPECIES,LO,HI,TIME_rel,KG_HR,DAYS,KG_HR_DAY
MEPA,>=0,<0.04,0,9.200833333,79,0.116466245
MEPA,>=0.04,<0.08,0.04,2.44,79,0.030886076
MEPA,>=0.08,<0.12,0.08,5.6425,79,0.071424051
MEPA,>=0.12,<0.16,0.12,15.65666667,79,0.198185654
MEPA,>=0.16,<0.2,0.16,12.48466667,79,0.158033755
MEPA,>=0.2,<0.24,0.2,19.63183333,79,0.248504219
MEPA,>=0.24,<0.28,0.24,22.57,79,0.285696203
MEPA,>=0.28,<0.32,0.28,43.81833333,79,0.554662447
MEPA,>=0.32,<0.36,0.32,50.27416667,79,0.636381857
MEPA,>=0.36,<0.4,0.36,22.06166667,79,0.279261603
MEPA,>=0.4,<0.44,0.4,83.4175,79,1.055917722
MEPA,>=0.44,<0.48,0.44,51.49416667,79,0.651824895
MEPA,>=0.48,<0.52,0.48,77.165,79,0.976772152
MEPA,>=0.52,<0.56,0.52,58.56,79,0.741265823
MEPA,>=0.56,<0.6,0.56,84.9425,79,1.075221519
MEPA,>=0.6,<0.64,0.6,62.11833333,79,0.786308017
MEPA,>=0.64,<0.68,0.64,88.145,79,1.115759494
MEPA,>=0.68,<0.72,0.68,81.8925,79,1.036613924
MEPA,>=0.72,<0.76,0.72,72.895,79,0.922721519
MEPA,>=0.76,<0.8,0.76,39.54833333,79,0.500611814
MEPA,>=0.8,<0.84,0.8,55.815,79,0.706518987
MEPA,>=0.84,<0.88,0.84,53.2225,79,0.673702532
MEPA,>=0.88,<0.92,0.88,36.39666667,79,0.4607173
MEPA,>=0.92,<0.96,0.92,28.46666667,79,0.360337553
MEPA,>=0.96,<1,0.96,0,79,0
MEPA,>=1,<0,1,0,79,0
BHPA,>=0,<0.04,0,23.89725,79,0.302496835
BHPA,>=0.04,<0.08,0.04,40.11691667,79,0.507809072
BHPA,>=0.08,<0.12,0.08,73.21491667,79,0.926771097
BHPA,>=0.12,<0.16,0.12,67.98675,79,0.860591772
BHPA,>=0.16,<0.2,0.16,66.4677,79,0.841363291
BHPA,>=0.2,<0.24,0.2,68.13495,79,0.862467722
BHPA,>=0.24,<0.28,0.24,70.45675,79,0.891857595
BHPA,>=0.28,<0.32,0.28,49.56466667,79,0.627400844
BHPA,>=0.32,<0.36,0.32,50.0175,79,0.633132911
BHPA,>=0.36,<0.4,0.36,37.44108333,79,0.473937764
BHPA,>=0.4,<0.44,0.4,42.31933333,79,0.535687764
BHPA,>=0.44,<0.48,0.44,25.3175,79,0.320474684
BHPA,>=0.48,<0.52,0.48,39.29358333,79,0.497387131
BHPA,>=0.52,<0.56,0.52,21.489,79,0.272012658
BHPA,>=0.56,<0.6,0.56,15.51983333,79,0.196453586
BHPA,>=0.6,<0.64,0.6,26.38783333,79,0.334023207
BHPA,>=0.64,<0.68,0.64,18.6485,79,0.236056962
BHPA,>=0.68,<0.72,0.68,9.57125,79,0.121155063
BHPA,>=0.72,<0.76,0.72,13.091,79,0.165708861
BHPA,>=0.76,<0.8,0.76,7.554083333,79,0.095621308
BHPA,>=0.8,<0.84,0.8,11.58841667,79,0.146688819
BHPA,>=0.84,<0.88,0.84,8.492683333,79,0.107502321
BHPA,>=0.88,<0.92,0.88,5.475166667,79,0.069305907
BHPA,>=0.92,<0.96,0.92,2.725233333,79,0.034496624
BHPA,>=0.96,<1,0.96,0.16055,79,0.002032278
BHPA,>=1,<0,1,0,79,0
RGMA,>=0,<0.04,0,0.479166667,79,0.006065401
RGMA,>=0.04,<0.08,0.04,0,79,0
RGMA,>=0.08,<0.12,0.08,0,79,0
RGMA,>=0.12,<0.16,0.12,0.625,79,0.007911392
RGMA,>=0.16,<0.2,0.16,0.416666667,79,0.005274262
RGMA,>=0.2,<0.24,0.2,0.020833333,79,0.000263713
RGMA,>=0.24,<0.28,0.24,0.3125,79,0.003955696
RGMA,>=0.28,<0.32,0.28,0.416666667,79,0.005274262
RGMA,>=0.32,<0.36,0.32,0.3125,79,0.003955696
RGMA,>=0.36,<0.4,0.36,0.3125,79,0.003955696
RGMA,>=0.4,<0.44,0.4,1.666666667,79,0.021097046
RGMA,>=0.44,<0.48,0.44,0,79,0
RGMA,>=0.48,<0.52,0.48,0.458333333,79,0.005801688
RGMA,>=0.52,<0.56,0.52,0,79,0
RGMA,>=0.56,<0.6,0.56,1.25,79,0.015822785
RGMA,>=0.6,<0.64,0.6,0.9375,79,0.011867089
RGMA,>=0.64,<0.68,0.64,0.625,79,0.007911392
RGMA,>=0.68,<0.72,0.68,0.833333333,79,0.010548523
RGMA,>=0.72,<0.76,0.72,1.145833333,79,0.014504219
RGMA,>=0.76,<0.8,0.76,0.208333333,79,0.002637131
RGMA,>=0.8,<0.84,0.8,0.104166667,79,0.001318565
RGMA,>=0.84,<0.88,0.84,1.25,79,0.015822785
RGMA,>=0.88,<0.92,0.88,0.333333333,79,0.004219409
RGMA,>=0.92,<0.96,0.92,0.208333333,79,0.002637131
RGMA,>=0.96,<1,0.96,0,79,0
RGMA,>=1,<0,1,0,79,0
GRMA,>=0,<0.04,0,17.5,79,0.221518987
GRMA,>=0.04,<0.08,0.04,28.56666667,79,0.361603376
GRMA,>=0.08,<0.12,0.08,34.3,79,0.434177215
GRMA,>=0.12,<0.16,0.12,37.1,79,0.469620253
GRMA,>=0.16,<0.2,0.16,31.32,79,0.396455696
GRMA,>=0.2,<0.24,0.2,30.42666667,79,0.385147679
GRMA,>=0.24,<0.28,0.24,17.83333333,79,0.225738397
GRMA,>=0.28,<0.32,0.28,16.26666667,79,0.205907173
GRMA,>=0.32,<0.36,0.32,14.71333333,79,0.186244726
GRMA,>=0.36,<0.4,0.36,11.63333333,79,0.147257384
GRMA,>=0.4,<0.44,0.4,15.63333333,79,0.197890295
GRMA,>=0.44,<0.48,0.44,7.066666667,79,0.089451477
GRMA,>=0.48,<0.52,0.48,14.16666667,79,0.179324895
GRMA,>=0.52,<0.56,0.52,6.8,79,0.086075949
GRMA,>=0.56,<0.6,0.56,5.266666667,79,0.066666667
GRMA,>=0.6,<0.64,0.6,8.5,79,0.107594937
GRMA,>=0.64,<0.68,0.64,4.5,79,0.056962025
GRMA,>=0.68,<0.72,0.68,3.166666667,79,0.040084388
GRMA,>=0.72,<0.76,0.72,5.6,79,0.070886076
GRMA,>=0.76,<0.8,0.76,1.6,79,0.020253165
GRMA,>=0.8,<0.84,0.8,3.6,79,0.04556962
GRMA,>=0.84,<0.88,0.84,3.2,79,0.040506329
GRMA,>=0.88,<0.92,0.88,2.666666667,79,0.033755274
GRMA,>=0.92,<0.96,0.92,0.433333333,79,0.005485232
GRMA,>=0.96,<1,0.96,0,79,0
GRMA,>=1,<0,1,0,79,0
SCMA,>=0,<0.04,0,1.556333333,79,0.019700422
SCMA,>=0.04,<0.08,0.04,0.169166667,79,0.00214135
SCMA,>=0.08,<0.12,0.08,0.845833333,79,0.010706751
SCMA,>=0.12,<0.16,0.12,5.244166667,79,0.066381857
SCMA,>=0.16,<0.2,0.16,1.97925,79,0.025053797
SCMA,>=0.2,<0.24,0.2,1.911583333,79,0.024197257
SCMA,>=0.24,<0.28,0.24,1.285666667,79,0.016274262
SCMA,>=0.28,<0.32,0.28,4.652083333,79,0.058887131
SCMA,>=0.32,<0.36,0.32,4.398333333,79,0.055675105
SCMA,>=0.36,<0.4,0.36,3.80625,79,0.04818038
SCMA,>=0.4,<0.44,0.4,8.88125,79,0.112420886
SCMA,>=0.44,<0.48,0.44,2.368333333,79,0.029978903
SCMA,>=0.48,<0.52,0.48,8.458333333,79,0.107067511
SCMA,>=0.52,<0.56,0.52,4.144583333,79,0.05246308
SCMA,>=0.56,<0.6,0.56,10.43758333,79,0.132121308
SCMA,>=0.6,<0.64,0.6,3.80625,79,0.04818038
