SPECIES,WIN,LOSE,FIGHT,ABUN,FIGHT_RT,WIN_RT,INT_spp
BYMA,320,69,389,2.472633373,157.3221507,0.822622108,58.33333333
SCMA,174,70,244,2.801972742,87.08150382,0.713114754,41.66666667
RGMA,117,38,155,4.554647598,34.03117292,0.75483871,33.33333333
MEPA,344,77,421,23.02299578,18.28606512,0.817102138,75
YCPA,104,56,160,5.580801688,28.6697161,0.65,58.33333333
BHPA,15,554,569,41.12908482,13.83449212,0.026362039,66.66666667
GRMA,169,97,266,10.29147904,25.84662505,0.635338346,75
DHPA,2,115,117,4.776482344,24.49501361,0.017094017,58.33333333
WEPA,16,89,105,9.106329114,11.53044204,0.152380952,50
CWPA,0,36,36,0.647319716,55.61394022,0,16.66666667
WBPA,1,2,3,0.177578932,16.89389594,0,16.66666667
OCPA,6,65,71,4.56835443,15.5417013,0.084507042,50
