DATE,JULIAN,FIRST_DOWN
7/1/99,181,BHPA
7/3/99,183,BHPA
7/4/99,184,BHPA
7/6/99,186,BHPA
7/7/99,187,BHPA
7/8/99,188,BHPA
7/8/99,188,CFMA
7/9/99,189,CFMA
7/10/99,190,YCPA
7/11/99,191,YCPA
7/12/99,192,BHPA
7/13/99,193,YCPA
7/14/99,194,BHPA
7/19/99,199,YCPA
7/21/99,201,BHPA
7/22/99,202,YCPA
7/23/99,203,YCPA
7/23/99,203,CFMA
7/24/99,204,BHPA
7/26/99,206,BHPA
7/31/99,211,YCPA
8/1/99,212,BHPA
8/2/99,213,YCPA
8/3/99,214,BHPA
8/5/99,216,YCPA
8/6/99,217,BHPA
8/6/99,217,CFMA
8/7/99,218,CFMA
8/8/99,219,CFMA
8/9/99,220,BHPA
8/10/99,221,YCPA
8/11/99,222,YCPA
8/12/99,223,BHPA
8/13/99,224,YCPA
8/14/99,225,CFMA
8/14/99,225,YCPA
8/15/99,226,YCPA
8/16/99,227,YCPA
8/17/99,228,YCPA
8/19/99,230,YCPA
8/19/99,230,CFMA
8/20/99,231,CFMA
8/21/99,232,YCPA
8/21/99,232,CFMA
8/22/99,233,YCPA
8/22/99,233,CFMA
8/23/99,234,BHPA
8/24/99,235,YCPA
8/25/99,236,YCPA
8/26/99,237,YCPA
8/27/99,238,BHPA
8/29/99,240,YCPA
8/30/99,241,CFMA
9/1/99,243,BHPA
9/2/99,244,YCPA
9/2/99,244,CFMA
9/4/99,246,YCPA
9/4/99,246,CFMA
9/6/99,248,CFMA
9/7/99,249,YCPA
9/8/99,250,YCPA
9/9/99,251,YCPA
9/11/99,253,YCPA
9/12/99,254,YCPA
9/12/99,254,CFMA
9/13/99,255,CFMA
9/15/99,257,RBMA 
9/15/99,257,CFMA
9/17/99,259,CFMA
9/18/99,260,RBMA 
9/21/99,263,YCPA
9/22/99,264,YCPA
9/23/99,265,YCPA
9/25/99,267,YCPA
9/25/99,267,RBMA 
9/27/99,269,YCPA
9/28/99,270,YCPA
9/28/99,270,CFMA
9/30/99,272,YCPA
9/30/99,272,CFMA
