DATE,TIME,TYPE,CAUSE,CATEGORY,ALARM
6/23/99,na,na,na,na,na
6/23/99,na,na,na,na,na
6/23/99,na,na,na,na,na
6/23/99,na,na,na,na,na
6/23/99,na,na,na,na,na
6/23/99,na,na,na,na,na
6/25/99,na,na,na,na,na
6/25/99,na,na,na,na,na
6/25/99,na,na,na,na,na
6/25/99,na,na,na,na,na
6/25/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/27/99,na,na,na,na,na
6/29/99,na,na,na,na,na
6/29/99,na,na,na,na,na
6/29/99,na,na,na,na,na
6/29/99,na,na,na,na,na
6/29/99,na,na,na,na,na
6/29/99,na,na,na,na,na
6/29/99,na,na,na,na,na
7/1/99,6:21,ccollpa,na,na,na
7/1/99,6:26,ccollpa,rockfall,natural,na
7/1/99,6:30,ccollpa,na,na,na
7/1/99,6:30,tree,na,na,na
7/1/99,6:38,tree,na,na,na
7/1/99,7:00,tree,na,na,na
7/1/99,7:09,ccollpa,rockfall,natural,na
7/1/99,7:10,tree,na,na,na
7/1/99,7:25,ccollpa,na,na,na
7/3/99,6:30,ccollpa,na,na,na
7/3/99,6:30,tree,na,na,na
7/3/99,6:35,ccollpa,na,na,na
7/3/99,6:37,tree,na,na,na
7/3/99,7:10,ccollpa,na,na,na
7/3/99,7:10,tree,na,na,na
7/4/99,6:33,tree,rockfall,natural,na
7/4/99,6:39,tree,na,na,na
7/4/99,6:39,ccollpa,na,na,na
7/4/99,6:50,ccollpa,na,na,na
7/4/99,7:06,ccollpa,na,na,na
7/4/99,7:13,ccollpa,na,na,na
7/4/99,7:23,ccollpa,na,na,na
7/6/99,6:31,ccollpa,na,na,na
7/6/99,6:32,ccollpa,na,na,na
7/6/99,6:40,ccollpa,na,na,na
7/6/99,6:41,tree,na,na,na
7/6/99,6:42,ccollpa,na,na,na
7/6/99,6:46,ccollpa,na,na,na
7/7/99,6:27,tree,na,na,na
