"PANEL","x","y","SPECIES"
"1",0,0.300013850592858,"YCPA"
"2",0.113924050632911,0.333717113819438,"GRMA"
"3",0.215189873417722,0.935406211434615,"BHPA"
"4",0.278481012658228,0.10059656891852,"BYMA"
"5",0.367088607594937,0.106270340510234,"WEPA"
"6",0.455696202531646,0.0386474412663075,"OCPA"
"7",0.455696202531646,4.66070333059755e-05,"CWPA"
"8",0.481012658227848,0.0370559672841553,"DHPA"
"9",0.544303797468354,0.0893209914168371,"SCMA"
"10",0.531645569620253,0.00169127885201347,"WBPA"
"11",0.607594936708861,0.0100970433827074,"RGMA"
"12",0.582278481012658,1.28511738063413,"MEPA"
