ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,NOTES,MORPH,MEASURE
1,Florida MNH,10046,MEPA,Amazona,farinosa,skin study,left wing,wing_Lw,24.800
2,Florida MNH,10046,MEPA,Amazona,farinosa,skin study,right wing,wing_Lw,24.300
3,Florida MNH,12524,BYMA,Ara,ararauna,skin study,right wing,wing_Lw,40.000
4,Florida MNH,12524,BYMA,Ara,ararauna,skin study,left wing,wing_Lw,40.500
5,Florida MNH,15624,RGMA,Ara,chloropterus,skin study,right wing,wing_Lw,39.500
6,Florida MNH,15624,RGMA,Ara,chloropterus,skin study,left wing,wing_Lw,39.500
7,Florida MNH,22116,SCMA,Ara,macao,wing spread,left wing,wing_Lw,38.600
8,Florida MNH,4491,SCMA,Ara,macao,skin study,right wing,wing_Lw,41.000
9,Florida MNH,4491,SCMA,Ara,macao,skin study,left wing,wing_Lw,40.900
10,Florida MNH,15623,SCMA,Ara,macao,skin study,right wing,wing_Lw,37.800
12,Florida MNH,37643,SCMA,Ara,macao,skin study,right wing,wing_Lw,40.000
13,Florida MNH,37643,SCMA,Ara,macao,skin study,left wing,wing_Lw,40.200
14,Florida MNH,22234,GRMA,Ara,severus,wing flat,right wing,wing_Lw,26.200
15,Florida MNH,37638,DHPA,Aratinga,weddellii,skin study,left wing,wing_Lw,14.500
16,Florida MNH,37638,DHPA,Aratinga,weddellii,skin study,right wing,wing_Lw,14.900
17,Florida MNH,37652,CWPA,Brotogeris,cyanoptera,skin study,right wing,wing_Lw,11.600
18,Florida MNH,37652,CWPA,Brotogeris,cyanoptera,skin study,left wing,wing_Lw,11.600
19,Florida MNH,39658,WBPA,Pionites,leucogaster,skin study,right wing,wing_Lw,13.900
20,Florida MNH,19167,OCPA,Pionopsitta,barrabandi,skin study,right wing,wing_Lw,16.700
21,Florida MNH,19167,OCPA,Pionopsitta,barrabandi,skin study,left wing,wing_Lw,16.600
23,Florida MNH,19166,BHPA,Pionus,menstruus,skin study,left wing,wing_Lw,18.800
24,Florida MNH,19166,BHPA,Pionus,menstruus,skin study,right wing,wing_Lw,19.200
25,Bishop Museum,185544,BYMA,Ara,ararauna,wing spread,left wing,wing_Lw,40.410
26,Carnegie MNH,P33810,MEPA,Amazona,farinosa,skin study,left wing,wing_Lw,23.400
27,Carnegie MNH,P33810,MEPA,Amazona,farinosa,skin study,right wing,wing_Lw,24.000
28,Carnegie MNH,P32229,MEPA,Amazona,farinosa,skin study,left wing,wing_Lw,23.700
29,Carnegie MNH,P32229,MEPA,Amazona,farinosa,skin study,right wing,wing_Lw,23.700
30,Carnegie MNH,P61975,MEPA,Amazona,farinosa,skin study,left wing,wing_Lw,23.100
31,Carnegie MNH,P61975,MEPA,Amazona,farinosa,skin study,right wing,wing_Lw,24.100
32,Carnegie MNH,P67902,MEPA,Amazona,farinosa,skin study,left wing,wing_Lw,23.700
33,Carnegie MNH,P67902,MEPA,Amazona,farinosa,skin study,right wing,wing_Lw,23.600
34,Carnegie MNH,P83121,MEPA,Amazona,farinosa,skin study,left wing,wing_Lw,25.000
35,Carnegie MNH,P83121,MEPA,Amazona,farinosa,skin study,right wing,wing_Lw,24.800
36,Carnegie MNH,S11326,MEPA,Amazona,farinosa,wing spread,left wing,wing_Lw,22.800
37,Carnegie MNH,S14152,MEPA,Amazona,farinosa,wing spread,left wing,wing_Lw,24.000
38,Carnegie MNH,S14370,MEPA,Amazona,farinosa,wing spread,left wing,wing_Lw,24.500
39,Carnegie MNH,S15502,MEPA,Amazona,farinosa,wing spread,left wing,wing_Lw,24.500
40,Carnegie MNH,P60438,YCPA,Amazona,ochrocephala,skin study,left wing,wing_Lw,22.800
41,Carnegie MNH,P60438,YCPA,Amazona,ochrocephala,skin study,right wing,wing_Lw,22.500
42,Carnegie MNH,P84234,YCPA,Amazona,ochrocephala,skin study,left wing,wing_Lw,20.600
43,Carnegie MNH,P84234,YCPA,Amazona,ochrocephala,skin study,right wing,wing_Lw,20.400
44,Carnegie MNH,P96477,YCPA,Amazona,ochrocephala,skin study,left wing,wing_Lw,22.500
45,Carnegie MNH,P96477,YCPA,Amazona,ochrocephala,skin study,right wing,wing_Lw,22.700
