ID,COLLECTION,CAT_ID,CODE,GENUS,SPECIES,SPEC_TYPE,Lw,S1,Hwi,TWAi,E,CULM_SL,CULM_CL,MAND_SL,MAND_CL,SCMi,NOTES,RECORDER
1,Florida MNH,10046,MEPA,Amazona,farinosa,skin study,24.8,16.6,33.06451613,0.123504,--,3.74,4.2,2.11,2.2,5.85,left wing,KV
2,Florida MNH,10046,MEPA,Amazona,farinosa,skin study,24.3,16.4,32.51028807,0.119556,--,--,--,--,--,--,right wing,KV
3,Florida MNH,12524,BYMA,Ara,ararauna,skin study,40,24.6,38.5,0.2952,--,6.5,7.7,3.66,3.5,10.16,right wing,KV
4,Florida MNH,12524,BYMA,Ara,ararauna,skin study,40.5,24.5,39.50617284,0.297675,--,--,--,--,--,--,left wing,KV
5,Florida MNH,15624,RGMA,Ara,chloropterus,skin study,39.5,23,41.7721519,0.27255,--,6.4,7.4,4.06,4,10.46,right wing,KV
6,Florida MNH,15624,RGMA,Ara,chloropterus,skin study,39.5,23.5,40.50632911,0.278475,--,--,--,--,--,--,left wing,KV
7,Florida MNH,22116,SCMA,Ara,macao,wing spread,38.6,23.8,38.34196891,0.275604,--,--,--,--,--,--,left wing,KV
8,Florida MNH,4491,SCMA,Ara,macao,skin study,41,25.5,37.80487805,0.31365,--,6.96,9,4.69,4.8,11.65,right wing,KV
9,Florida MNH,4491,SCMA,Ara,macao,skin study,40.9,25.8,36.9193154,0.316566,--,6.233,6.9,3.69,3.7,9.923,left wing,KV
10,Florida MNH,15623,SCMA,Ara,macao,skin study,37.8,24,36.50793651,0.27216,--,--,--,--,--,--,right wing,KV
11,Florida MNH,15623,SCMA,Ara,macao,skin study,--,24.2,--,--,--,--,--,--,--,--,left wing,KV
12,Florida MNH,37643,SCMA,Ara,macao,skin study,40,22.5,43.75,0.27,--,6.451,7.5,3.8,3.9,10.251,right wing,KV
13,Florida MNH,37643,SCMA,Ara,macao,skin study,40.2,23,42.78606965,0.27738,--,--,--,--,--,--,left wing,KV
14,Florida MNH,22234,GRMA,Ara,severus,wing flat,26.2,14.6,44.27480916,0.114756,--,--,--,--,--,--,right wing,KV
15,Florida MNH,37638,DHPA,Aratinga,weddellii,skin study,14.5,8,44.82758621,0.0348,--,2.15,2.4,1.46,1.51,3.61,left wing,KV
16,Florida MNH,37638,DHPA,Aratinga,weddellii,skin study,14.9,8.5,42.95302013,0.037995,--,--,--,--,--,--,right wing,KV
17,Florida MNH,37652,CWPA,Brotogeris,cyanoptera,skin study,11.6,7.1,38.79310345,0.024708,--,1.8,2.2,1.43,1.5,3.23,right wing,KV
18,Florida MNH,37652,CWPA,Brotogeris,cyanoptera,skin study,11.6,7.2,37.93103448,0.025056,--,--,--,--,--,--,left wing,KV
