SPECIES,1,2,3,4,5,6,7,8,9
MEPA,55.51851056,100,92.70833333,4.166666667,0,100,3.165110335,66.66666667,66.21931908
YCPA,13.19159967,15.40033838,100,100,100,12.28070175,7.89297868,47.61904762,52.67708333
BHPA,100,66.13584076,97.91666667,64.58333333,51.35135135,1.754385965,1.080330591,57.14285714,2.13642355
GRMA,24.63482431,22.28628413,98.95833333,81.25,64.86486486,14.03508772,6.625908213,66.66666667,51.48887845
BYMA,5.626502325,15.11457491,96.875,54.16666667,0,64.9122807,66.66666667,47.61904762,66.66666667
SCMA,6.421847037,15.42786879,91.66666667,10.41666667,0,84.21052632,34.6195029,28.57142857,57.7920082
WEPA,21.89121406,9.339772485,98.95833333,39.58333333,0,21.05263158,0,38.0952381,12.34920635
DHPA,11.24694219,2.723591312,93.75,20.83333333,0,5.263157895,5.956443549,47.61904762,1.385327635
OCPA,10.64109383,3.31817624,93.75,25,0,0,1.91338579,38.0952381,6.848591549
RGMA,10.63875779,30.8278506,3.125,0,0,21.05263158,10.42106674,19.04761905,61.1733871
WBPA,0,0,93.75,12.5,0,0,2.386032907,0,0
CWPA,1.134022025,0.083495714,0,25,0,3.50877193,20.39381201,0,0
