SPECIES,1,2,3,4,5,6,7,8,9
MEPA,55.51851056,155.5185106,248.2268439,252.3935106,252.3935106,352.3935106,355.5586209,422.2252876,488.4446066
YCPA,13.19159967,28.59193804,128.591938,228.591938,328.591938,340.8726398,348.7656185,396.3846661,449.0617494
BHPA,100,166.1358408,264.0525074,328.6358408,379.9871921,381.7415781,382.8219087,439.9647658,442.1011894
GRMA,24.63482431,46.92110843,145.8794418,227.1294418,291.9943066,306.0293944,312.6553026,379.3219692,430.8108477
BYMA,5.626502325,20.74107724,117.6160772,171.7827439,171.7827439,236.6950246,303.3616913,350.9807389,417.6474056
SCMA,6.421847037,21.84971583,113.5163825,123.9330492,123.9330492,208.1435755,242.7630784,271.3345069,329.1265151
WEPA,21.89121406,31.23098655,130.1893199,169.7726532,169.7726532,190.8252848,190.8252848,228.9205229,241.2697292
DHPA,11.24694219,13.9705335,107.7205335,128.5538668,128.5538668,133.8170247,139.7734683,187.3925159,188.7778435
OCPA,10.64109383,13.95927007,107.7092701,132.7092701,132.7092701,132.7092701,134.6226559,172.717894,179.5664855
RGMA,10.63875779,41.46660838,44.59160838,44.59160838,44.59160838,65.64423996,76.0653067,95.11292575,156.2863128
WBPA,0,0,93.75,106.25,106.25,106.25,108.6360329,108.6360329,108.6360329
CWPA,1.134022025,1.217517738,1.217517738,26.21751774,26.21751774,29.72628967,50.12010167,50.12010167,50.12010167
