ID,SPECIES,TIMEad,HOUR,KG_HR,DAYS,KG_HR_DAY
1,MEPA,0:00:00,0:00,0,0,0.000000
1,MEPA,0:05:00,0.08,0,0,0.000000
1,MEPA,0:10:00,0.17,0,0,0.000000
1,MEPA,0:15:00,0.25,0,0,0.000000
1,MEPA,0:20:00,0.33,0,0,0.000000
1,MEPA,0:25:00,0.42,0,0,0.000000
1,MEPA,0:30:00,0.50,0.101666667,79,0.001287
1,MEPA,0:35:00,0.58,1.169166667,79,0.014800
1,MEPA,0:40:00,0.67,6.354166667,79,0.080432
1,MEPA,0:45:00,0.75,14.23333333,79,0.180169
1,MEPA,0:50:00,0.83,27.95833333,79,0.353903
1,MEPA,0:55:00,0.92,50.203,79,0.635481
1,MEPA,1:00:00,1.00,84.77983333,79,1.073162
1,MEPA,1:05:00,1.08,127.6933333,79,1.616371
1,MEPA,1:10:00,1.17,146.9591667,79,1.860243
1,MEPA,1:15:00,1.25,152.0425,79,1.924589
1,MEPA,1:20:00,1.33,142.3841667,79,1.802331
1,MEPA,1:25:00,1.42,101.0566667,79,1.279198
1,MEPA,1:30:00,1.50,96.63416667,79,1.223217
1,MEPA,1:35:00,1.58,62.11833333,79,0.786308
1,MEPA,1:40:00,1.67,40.61583333,79,0.514124
1,MEPA,1:45:00,1.75,22.4175,79,0.283766
1,MEPA,1:50:00,1.83,10.72583333,79,0.135770
1,MEPA,1:55:00,1.92,5.9475,79,0.075285
1,MEPA,2:00:00,2.00,2.745,79,0.034747
1,MEPA,2:05:00,2.08,2.541666667,79,0.032173
1,MEPA,2:10:00,2.17,1.22,79,0.015443
1,MEPA,2:15:00,2.25,1.270833333,79,0.016086
1,MEPA,2:20:00,2.33,0.4575,79,0.005791
1,MEPA,2:25:00,2.42,0,79,0.000000
1,MEPA,2:30:00,2.50,0,29,0.000000
1,MEPA,2:35:00,2.58,0,29,0.000000
1,MEPA,2:40:00,2.67,0,29,0.000000
1,MEPA,2:45:00,2.75,0,29,0.000000
1,MEPA,2:50:00,2.83,0,29,0.000000
1,MEPA,2:55:00,2.92,0,29,0.000000
1,MEPA,3:00:00,3.00,0,27,0.000000
1,MEPA,3:05:00,3.08,0,27,0.000000
1,MEPA,3:10:00,3.17,0,27,0.000000
1,MEPA,3:15:00,3.25,0,27,0.000000
1,MEPA,3:20:00,3.33,0,27,0.000000
1,MEPA,3:25:00,3.42,0,27,0.000000
1,MEPA,3:30:00,3.50,0,27,0.000000
1,MEPA,3:35:00,3.58,0,27,0.000000
1,MEPA,3:40:00,3.67,0,27,0.000000
1,MEPA,3:45:00,3.75,0,27,0.000000
1,MEPA,3:50:00,3.83,0,27,0.000000
1,MEPA,3:55:00,3.92,0,27,0.000000
1,MEPA,4:00:00,4.00,0,27,0.000000
1,MEPA,4:05:00,4.08,0,27,0.000000
1,MEPA,4:10:00,4.17,0,27,0.000000
1,MEPA,4:15:00,4.25,0,27,0.000000
1,MEPA,4:20:00,4.33,0,27,0.000000
1,MEPA,4:25:00,4.42,0,27,0.000000
1,MEPA,4:30:00,4.50,0,56,0.000000
1,MEPA,4:35:00,4.58,0,56,0.000000
1,MEPA,4:40:00,4.67,0,56,0.000000
1,MEPA,4:45:00,4.75,0,56,0.000000
1,MEPA,4:50:00,4.83,0,56,0.000000
1,MEPA,4:55:00,4.92,0,56,0.000000
1,MEPA,5:00:00,5.00,0,56,0.000000
1,MEPA,5:05:00,5.08,0,56,0.000000
1,MEPA,5:10:00,5.17,0,56,0.000000
1,MEPA,5:15:00,5.25,0,56,0.000000
1,MEPA,5:20:00,5.33,0,56,0.000000
1,MEPA,5:25:00,5.42,0,56,0.000000
1,MEPA,5:30:00,5.50,0,56,0.000000
1,MEPA,5:35:00,5.58,0,56,0.000000
1,MEPA,5:40:00,5.67,0,56,0.000000
1,MEPA,5:45:00,5.75,0,56,0.000000
1,MEPA,5:50:00,5.83,0,56,0.000000
1,MEPA,5:55:00,5.92,0,56,0.000000
1,MEPA,6:00:00,6.00,0,56,0.000000
1,MEPA,6:05:00,6.08,0,56,0.000000
1,MEPA,6:10:00,6.17,0,56,0.000000
1,MEPA,6:15:00,6.25,0,56,0.000000
1,MEPA,6:20:00,6.33,0,56,0.000000
1,MEPA,6:25:00,6.42,0,56,0.000000
1,MEPA,6:30:00,6.50,0,56,0.000000
1,MEPA,6:35:00,6.58,0,56,0.000000
1,MEPA,6:40:00,6.67,0,56,0.000000
1,MEPA,6:45:00,6.75,0,56,0.000000
1,MEPA,6:50:00,6.83,0,56,0.000000
1,MEPA,6:55:00,6.92,0,56,0.000000
1,MEPA,7:00:00,7.00,0,56,0.000000
1,MEPA,7:05:00,7.08,0,56,0.000000
1,MEPA,7:10:00,7.17,0,56,0.000000
1,MEPA,7:15:00,7.25,0,56,0.000000
1,MEPA,7:20:00,7.33,0,56,0.000000
1,MEPA,7:25:00,7.42,0,56,0.000000
1,MEPA,7:30:00,7.50,0,56,0.000000
1,MEPA,7:35:00,7.58,0,56,0.000000
1,MEPA,7:40:00,7.67,0,56,0.000000
1,MEPA,7:45:00,7.75,0,56,0.000000
1,MEPA,7:50:00,7.83,0,56,0.000000
1,MEPA,7:55:00,7.92,0,56,0.000000
1,MEPA,8:00:00,8.00,0,55,0.000000
1,MEPA,8:05:00,8.08,0,55,0.000000
1,MEPA,8:10:00,8.17,0,55,0.000000
1,MEPA,8:15:00,8.25,0,55,0.000000
1,MEPA,8:20:00,8.33,0,55,0.000000
1,MEPA,8:25:00,8.42,0,55,0.000000
1,MEPA,8:30:00,8.50,0,55,0.000000
1,MEPA,8:35:00,8.58,0,55,0.000000
1,MEPA,8:40:00,8.67,0,55,0.000000
1,MEPA,8:45:00,8.75,0,55,0.000000
1,MEPA,8:50:00,8.83,0,55,0.000000
1,MEPA,8:55:00,8.92,0,55,0.000000
1,MEPA,9:00:00,9.00,0,55,0.000000
1,MEPA,9:05:00,9.08,0,55,0.000000
1,MEPA,9:10:00,9.17,0,55,0.000000
1,MEPA,9:15:00,9.25,0,55,0.000000
1,MEPA,9:20:00,9.33,0,55,0.000000
1,MEPA,9:25:00,9.42,0,55,0.000000
1,MEPA,9:30:00,9.50,0,41,0.000000
1,MEPA,9:35:00,9.58,0,41,0.000000
1,MEPA,9:40:00,9.67,0,41,0.000000
1,MEPA,9:45:00,9.75,0,41,0.000000
1,MEPA,9:50:00,9.83,0,41,0.000000
1,MEPA,9:55:00,9.92,0,41,0.000000
1,MEPA,10:00:00,10.00,0,41,0.000000
1,MEPA,10:05:00,10.08,0,41,0.000000
1,MEPA,10:10:00,10.17,0,41,0.000000
1,MEPA,10:15:00,10.25,0,41,0.000000
1,MEPA,10:20:00,10.33,0,41,0.000000
1,MEPA,10:25:00,10.42,0,41,0.000000
1,MEPA,10:30:00,10.50,0,41,0.000000
1,MEPA,10:35:00,10.58,0,41,0.000000
1,MEPA,10:40:00,10.67,0,41,0.000000
1,MEPA,10:45:00,10.75,0,41,0.000000
1,MEPA,10:50:00,10.83,0,41,0.000000
1,MEPA,10:55:00,10.92,0,41,0.000000
1,MEPA,11:00:00,11.00,0,15,0.000000
1,MEPA,11:05:00,11.08,0,15,0.000000
1,MEPA,11:10:00,11.17,0,15,0.000000
1,MEPA,11:15:00,11.25,0,15,0.000000
1,MEPA,11:20:00,11.33,0,15,0.000000
1,MEPA,11:25:00,11.42,0,15,0.000000
1,MEPA,11:30:00,11.50,0,15,0.000000
1,MEPA,11:35:00,11.58,0,15,0.000000
1,MEPA,11:40:00,11.67,0,15,0.000000
1,MEPA,11:45:00,11.75,0,15,0.000000
1,MEPA,11:50:00,11.83,0,15,0.000000
1,MEPA,11:55:00,11.92,0,15,0.000000
1,MEPA,12:00:00,12.00,0,0,0.000000
2,BHPA,0:00:00,0.00,0,0,0.000000
2,BHPA,0:05:00,0.08,0,0,0.000000
2,BHPA,0:10:00,0.17,0,0,0.000000
2,BHPA,0:15:00,0.25,0,0,0.000000
2,BHPA,0:20:00,0.33,0,0,0.000000
2,BHPA,0:25:00,0.42,0.102916667,0,0.000000
2,BHPA,0:30:00,0.50,4.116666667,79,0.052110
2,BHPA,0:35:00,0.58,28.5285,79,0.361120
