ID,DATE,TIME,SPECIES,COUNT,round13,HOUR,DAWN,TIMEad,MONTH,DAY,HOURad,TIME_rel,MIN_morn,MASS,INTERVAL,DURATION_kg_hr
1,6/23/99,6:51:00 AM,RGMA,1,0.285416667,6.85,5:36,1:15,6,173,1.25,0.135135135,5,1250,0.006944444,0.208333333
2,6/23/99,7:01:00 AM,RGMA,2,0.292361111,7.016666667,5:36,1:25,6,173,1.416666667,0.405405405,15,1250,0.003472222,0.208333333
3,6/23/99,7:06:00 AM,RGMA,3,0.295833333,7.1,5:36,1:30,6,173,1.5,0.540540541,20,1250,0.003472222,0.3125
4,6/23/99,7:11:00 AM,RGMA,1,0.299305556,7.183333333,5:36,1:35,6,173,1.583333333,0.675675676,25,1250,0.003472222,0.104166667
5,6/23/99,7:16:00 AM,RGMA,2,0.302777778,7.266666667,5:36,1:40,6,173,1.666666667,0.810810811,30,1250,0.003472222,0.208333333
6,6/25/99,6:56:00 AM,RGMA,2,0.288888889,6.933333333,5:37,1:19,6,175,1.316666667,0.125,5,1250,0.003472222,0.208333333
7,6/25/99,7:01:00 AM,RGMA,2,0.292361111,7.016666667,5:37,1:24,6,175,1.4,0.25,10,1250,0.006944444,0.416666667
8,6/25/99,7:11:00 AM,RGMA,2,0.299305556,7.183333333,5:37,1:34,6,175,1.566666667,0.5,20,1250,0.003472222,0.208333333
9,6/25/99,7:16:00 AM,RGMA,6,0.302777778,7.266666667,5:37,1:39,6,175,1.65,0.625,25,1250,0.003472222,0.625
10,6/25/99,7:21:00 AM,RGMA,6,0.30625,7.35,5:37,1:44,6,175,1.733333333,0.75,30,1250,0.003472222,0.625
11,6/25/99,7:26:00 AM,RGMA,3,0.309722222,7.433333333,5:37,1:49,6,175,1.816666667,0.875,35,1250,0.003472222,0.3125
12,6/27/99,6:51:00 AM,RGMA,1,0.285416667,6.85,5:37,1:14,6,177,1.233333333,0.425531915,20,1250,0.010416667,0.3125
13,6/27/99,7:06:00 AM,RGMA,2,0.295833333,7.1,5:37,1:29,6,177,1.483333333,0.744680851,35,1250,0.010416667,0.625
14,7/3/99,9:33:00 AM,RGMA,6,0.397916667,9.55,5:38,3:55,7,183,3.916666667,3.660377358,NA,1250,0.003472222,0.625
15,7/3/99,9:38:00 AM,RGMA,8,0.401388889,9.633333333,5:38,4:00,7,183,4,3.754716981,NA,1250,0.003472222,0.833333333
16,7/3/99,9:43:00 AM,RGMA,11,0.404861111,9.716666667,5:38,4:05,7,183,4.083333333,3.849056604,NA,1250,0.003472222,1.145833333
17,7/3/99,9:48:00 AM,RGMA,6,0.408333333,9.8,5:38,4:10,7,183,4.166666667,3.943396226,NA,1250,0.003472222,0.625
18,7/7/99,9:22:00 AM,RGMA,3,0.390277778,9.366666667,5:38,3:44,7,187,3.733333333,3.324074074,NA,1250,0.003472222,0.3125
19,7/8/99,10:21:00 AM,RGMA,6,0.43125,10.35,5:38,4:43,7,188,4.716666667,3.597014925,NA,1250,0.001388889,0.25
20,7/8/99,10:23:00 AM,RGMA,3,0.432638889,10.38333333,5:38,4:45,7,188,4.75,3.626865672,NA,1250,0.000694444,0.0625
21,7/8/99,10:24:00 AM,RGMA,1,0.433333333,10.4,5:38,4:46,7,188,4.766666667,3.641791045,NA,1250,0.000694444,0.020833333
22,7/8/99,10:25:00 AM,RGMA,2,0.434027778,10.41666667,5:38,4:47,7,188,4.783333333,3.656716418,NA,1250,0.000694444,0.041666667
23,7/8/99,11:23:00 AM,RGMA,8,0.474305556,11.38333333,5:38,5:45,7,188,5.75,4.52238806,NA,1250,0.000694444,0.166666667
24,7/8/99,11:24:00 AM,RGMA,10,0.475,11.4,5:38,5:46,7,188,5.766666667,4.537313433,NA,1250,0.000694444,0.208333333
25,7/8/99,11:25:00 AM,RGMA,8,0.475694444,11.41666667,5:38,5:47,7,188,5.783333333,4.552238806,NA,1250,0.000694444,0.166666667
26,7/8/99,11:26:00 AM,RGMA,10,0.476388889,11.43333333,5:38,5:48,7,188,5.8,4.567164179,NA,1250,0.000694444,0.208333333
27,7/8/99,11:27:00 AM,RGMA,10,0.477083333,11.45,5:38,5:49,7,188,5.816666667,4.582089552,NA,1250,0.000694444,0.208333333
28,7/8/99,11:28:00 AM,RGMA,8,0.477777778,11.46666667,5:38,5:50,7,188,5.833333333,4.597014925,NA,1250,0.000694444,0.166666667
29,7/8/99,11:29:00 AM,RGMA,14,0.478472222,11.48333333,5:38,5:51,7,188,5.85,4.611940299,NA,1250,0.000694444,0.291666667
30,7/8/99,11:30:00 AM,RGMA,8,0.479166667,11.5,5:38,5:52,7,188,5.866666667,4.626865672,NA,1250,0.000694444,0.166666667
31,7/8/99,11:31:00 AM,RGMA,12,0.479861111,11.51666667,5:38,5:53,7,188,5.883333333,4.641791045,NA,1250,0.000694444,0.25
32,7/8/99,11:32:00 AM,RGMA,15,0.480555556,11.53333333,5:38,5:54,7,188,5.9,4.656716418,NA,1250,0.000694444,0.3125
33,7/8/99,11:33:00 AM,RGMA,13,0.48125,11.55,5:38,5:55,7,188,5.916666667,4.671641791,NA,1250,0.000694444,0.270833333
34,7/8/99,11:34:00 AM,RGMA,9,0.481944444,11.56666667,5:38,5:56,7,188,5.933333333,4.686567164,NA,1250,0.000694444,0.1875
35,7/8/99,11:35:00 AM,RGMA,14,0.482638889,11.58333333,5:38,5:57,7,188,5.95,4.701492537,NA,1250,0.000694444,0.291666667
36,7/8/99,11:36:00 AM,RGMA,15,0.483333333,11.6,5:38,5:58,7,188,5.966666667,4.71641791,NA,1250,0.000694444,0.3125
37,7/8/99,11:37:00 AM,RGMA,14,0.484027778,11.61666667,5:38,5:59,7,188,5.983333333,4.731343284,NA,1250,0.000694444,0.291666667
38,7/8/99,11:38:00 AM,RGMA,19,0.484722222,11.63333333,5:38,6:00,7,188,6,4.746268657,NA,1250,0.000694444,0.395833333
39,7/8/99,11:39:00 AM,RGMA,12,0.485416667,11.65,5:38,6:01,7,188,6.016666667,4.76119403,NA,1250,0.000694444,0.25
40,7/9/99,6:31:00 AM,RGMA,4,0.271527778,6.516666667,5:39,0:52,7,189,0.866666667,0.263157895,15,1250,0.003472222,0.416666667
41,7/9/99,6:36:00 AM,RGMA,2,0.275,6.6,5:39,0:57,7,189,0.95,0.350877193,20,1250,0.003472222,0.208333333
42,7/9/99,6:41:00 AM,RGMA,3,0.278472222,6.683333333,5:39,1:02,7,189,1.033333333,0.438596491,25,1250,0.003472222,0.3125
43,7/10/99,8:40:00 AM,RGMA,1,0.361111111,8.666666667,5:39,3:01,7,190,3.016666667,2.603773585,NA,1250,0.000694444,0.020833333
44,7/10/99,8:41:00 AM,RGMA,1,0.361805556,8.683333333,5:39,3:02,7,190,3.033333333,2.622641509,NA,1250,0.000694444,0.020833333
45,7/10/99,8:42:00 AM,RGMA,1,0.3625,8.7,5:39,3:03,7,190,3.05,2.641509434,NA,1250,0.000694444,0.020833333
46,7/10/99,8:43:00 AM,RGMA,5,0.363194444,8.716666667,5:39,3:04,7,190,3.066666667,2.660377358,NA,1250,0.000694444,0.104166667
47,7/10/99,8:44:00 AM,RGMA,8,0.363888889,8.733333333,5:39,3:05,7,190,3.083333333,2.679245283,NA,1250,0.000694444,0.166666667
48,7/10/99,8:45:00 AM,RGMA,5,0.364583333,8.75,5:39,3:06,7,190,3.1,2.698113208,NA,1250,0.000694444,0.104166667
49,7/10/99,8:46:00 AM,RGMA,5,0.365277778,8.766666667,5:39,3:07,7,190,3.116666667,2.716981132,NA,1250,0.000694444,0.104166667
50,7/10/99,8:47:00 AM,RGMA,4,0.365972222,8.783333333,5:39,3:08,7,190,3.133333333,2.735849057,NA,1250,0.000694444,0.083333333
51,7/10/99,8:48:00 AM,RGMA,2,0.366666667,8.8,5:39,3:09,7,190,3.15,2.754716981,NA,1250,0.002083333,0.125
52,7/10/99,8:51:00 AM,RGMA,5,0.36875,8.85,5:39,3:12,7,190,3.2,2.811320755,NA,1250,0.000694444,0.104166667
53,7/10/99,8:52:00 AM,RGMA,2,0.369444444,8.866666667,5:39,3:13,7,190,3.216666667,2.830188679,NA,1250,0.000694444,0.041666667
54,7/10/99,10:11:00 AM,RGMA,2,0.424305556,10.18333333,5:39,4:32,7,190,4.533333333,4.320754717,NA,1250,0.000694444,0.041666667
55,7/10/99,10:12:00 AM,RGMA,4,0.425,10.2,5:39,4:33,7,190,4.55,4.339622642,NA,1250,0.000694444,0.083333333
56,7/10/99,10:13:00 AM,RGMA,10,0.425694444,10.21666667,5:39,4:34,7,190,4.566666667,4.358490566,NA,1250,0.000694444,0.208333333
57,7/10/99,12:22:00 PM,RGMA,5,0.515277778,12.36666667,5:39,6:43,7,190,6.716666667,6.79245283,NA,1250,0.000694444,0.104166667
58,7/10/99,12:23:00 PM,RGMA,2,0.515972222,12.38333333,5:39,6:44,7,190,6.733333333,6.811320755,NA,1250,0.000694444,0.041666667
59,7/10/99,12:24:00 PM,RGMA,3,0.516666667,12.4,5:39,6:45,7,190,6.75,6.830188679,NA,1250,0.000694444,0.0625
60,7/10/99,12:25:00 PM,RGMA,8,0.517361111,12.41666667,5:39,6:46,7,190,6.766666667,6.849056604,NA,1250,0.000694444,0.166666667
61,7/10/99,12:26:00 PM,RGMA,7,0.518055556,12.43333333,5:39,6:47,7,190,6.783333333,6.867924528,NA,1250,0.000694444,0.145833333
62,7/10/99,12:27:00 PM,RGMA,7,0.51875,12.45,5:39,6:48,7,190,6.8,6.886792453,NA,1250,0.000694444,0.145833333
63,7/11/99,7:42:00 AM,RGMA,5,0.320833333,7.7,5:39,2:03,7,191,2.05,2.625,NA,1250,0.000694444,0.104166667
64,7/11/99,7:43:00 AM,RGMA,5,0.321527778,7.716666667,5:39,2:04,7,191,2.066666667,2.65625,NA,1250,0.000694444,0.104166667
65,7/11/99,7:44:00 AM,RGMA,4,0.322222222,7.733333333,5:39,2:05,7,191,2.083333333,2.6875,NA,1250,0.000694444,0.083333333
66,7/11/99,7:45:00 AM,RGMA,5,0.322916667,7.75,5:39,2:06,7,191,2.1,2.71875,NA,1250,0.000694444,0.104166667
67,7/11/99,7:46:00 AM,RGMA,6,0.323611111,7.766666667,5:39,2:07,7,191,2.116666667,2.75,NA,1250,0.000694444,0.125
68,7/11/99,7:47:00 AM,RGMA,6,0.324305556,7.783333333,5:39,2:08,7,191,2.133333333,2.78125,NA,1250,0.000694444,0.125
69,7/11/99,7:48:00 AM,RGMA,4,0.325,7.8,5:39,2:09,7,191,2.15,2.8125,NA,1250,0.000694444,0.083333333
70,7/11/99,7:49:00 AM,RGMA,4,0.325694444,7.816666667,5:39,2:10,7,191,2.166666667,2.84375,NA,1250,0.000694444,0.083333333
71,7/11/99,12:15:00 PM,RGMA,12,0.510416667,12.25,5:39,6:36,7,191,6.6,11.15625,NA,1250,0.000694444,0.25
72,7/11/99,12:16:00 PM,RGMA,20,0.511111111,12.26666667,5:39,6:37,7,191,6.616666667,11.1875,NA,1250,0.000694444,0.416666667
73,7/11/99,12:17:00 PM,RGMA,24,0.511805556,12.28333333,5:39,6:38,7,191,6.633333333,11.21875,NA,1250,0.000694444,0.5
74,7/11/99,12:18:00 PM,RGMA,25,0.5125,12.3,5:39,6:39,7,191,6.65,11.25,NA,1250,0.000694444,0.520833333
75,7/11/99,12:19:00 PM,RGMA,26,0.513194444,12.31666667,5:39,6:40,7,191,6.666666667,11.28125,NA,1250,0.000694444,0.541666667
76,7/11/99,12:20:00 PM,RGMA,23,0.513888889,12.33333333,5:39,6:41,7,191,6.683333333,11.3125,NA,1250,0.000694444,0.479166667
77,7/12/99,10:18:00 AM,RGMA,11,0.429166667,10.3,5:39,4:39,7,192,4.65,7.866666667,NA,1250,0.002083333,0.6875
78,7/12/99,10:21:00 AM,RGMA,17,0.43125,10.35,5:39,4:42,7,192,4.7,7.966666667,NA,1250,0.000694444,0.354166667
79,7/12/99,10:22:00 AM,RGMA,18,0.431944444,10.36666667,5:39,4:43,7,192,4.716666667,8,NA,1250,0.000694444,0.375
80,7/12/99,10:23:00 AM,RGMA,16,0.432638889,10.38333333,5:39,4:44,7,192,4.733333333,8.033333333,NA,1250,0.000694444,0.333333333
81,7/12/99,10:24:00 AM,RGMA,17,0.433333333,10.4,5:39,4:45,7,192,4.75,8.066666667,NA,1250,0.000694444,0.354166667
82,7/12/99,10:25:00 AM,RGMA,13,0.434027778,10.41666667,5:39,4:46,7,192,4.766666667,8.1,NA,1250,0.000694444,0.270833333
83,7/12/99,10:26:00 AM,RGMA,12,0.434722222,10.43333333,5:39,4:47,7,192,4.783333333,8.133333333,NA,1250,0.000694444,0.25
84,7/12/99,10:27:00 AM,RGMA,12,0.435416667,10.45,5:39,4:48,7,192,4.8,8.166666667,NA,1250,0.000694444,0.25
85,7/12/99,10:28:00 AM,RGMA,12,0.436111111,10.46666667,5:39,4:49,7,192,4.816666667,8.2,NA,1250,0.000694444,0.25
86,7/12/99,10:29:00 AM,RGMA,14,0.436805556,10.48333333,5:39,4:50,7,192,4.833333333,8.233333333,NA,1250,0.000694444,0.291666667
87,7/12/99,10:30:00 AM,RGMA,11,0.4375,10.5,5:39,4:51,7,192,4.85,8.266666667,NA,1250,0.000694444,0.229166667
88,7/12/99,10:31:00 AM,RGMA,9,0.438194444,10.51666667,5:39,4:52,7,192,4.866666667,8.3,NA,1250,0.000694444,0.1875
89,7/12/99,10:32:00 AM,RGMA,10,0.438888889,10.53333333,5:39,4:53,7,192,4.883333333,8.333333333,NA,1250,0.000694444,0.208333333
90,7/12/99,10:33:00 AM,RGMA,9,0.439583333,10.55,5:39,4:54,7,192,4.9,8.366666667,NA,1250,0.000694444,0.1875
