ID,DATE,TIME,SPECIES,COUNT,DAWN,TIMEad,MONTH,DAY,HOURad,TIME_rel,MIN_morn,MASS,INTERVAL,DURATION_kg_hr
1,6/23/99,6:46:00 AM,RGMA,0,5:36:00 AM,1:10,6,173,1.166666667,0,5,1250,0.003472222,0
2,6/23/99,6:51:00 AM,RGMA,1,5:36:00 AM,1:15,6,173,1.25,0.142857143,10,1250,0.003472222,0.104166667
3,6/23/99,6:56:00 AM,RGMA,0,5:36:00 AM,1:20,6,173,1.333333333,0.285714286,15,1250,0.003472222,0
4,6/23/99,7:01:00 AM,RGMA,2,5:36:00 AM,1:25,6,173,1.416666667,0.428571429,20,1250,0.003472222,0.208333333
5,6/23/99,7:06:00 AM,RGMA,3,5:36:00 AM,1:30,6,173,1.5,0.571428571,25,1250,0.003472222,0.3125
6,6/23/99,7:11:00 AM,RGMA,1,5:36:00 AM,1:35,6,173,1.583333333,0.714285714,30,1250,0.003472222,0.104166667
7,6/23/99,7:16:00 AM,RGMA,2,5:36:00 AM,1:40,6,173,1.666666667,0.857142857,35,1250,0.003472222,0.208333333
8,6/23/99,7:21:00 AM,RGMA,0,5:36:00 AM,1:45,6,173,1.75,1,40,1250,0.003472222,0
10,6/25/99,6:56:00 AM,RGMA,2,5:37:00 AM,1:19,6,175,1.316666667,0,5,1250,0.003472222,0.208333333
11,6/25/99,7:01:00 AM,RGMA,2,5:37:00 AM,1:24,6,175,1.4,0.142857143,10,1250,0.003472222,0.208333333
12,6/25/99,7:06:00 AM,RGMA,0,5:37:00 AM,1:29,6,175,1.483333333,0.285714286,15,1250,0.003472222,0
13,6/25/99,7:11:00 AM,RGMA,2,5:37:00 AM,1:34,6,175,1.566666667,0.428571429,20,1250,0.003472222,0.208333333
14,6/25/99,7:16:00 AM,RGMA,6,5:37:00 AM,1:39,6,175,1.65,0.571428571,25,1250,0.003472222,0.625
15,6/25/99,7:21:00 AM,RGMA,6,5:37:00 AM,1:44,6,175,1.733333333,0.714285714,30,1250,0.003472222,0.625
16,6/25/99,7:26:00 AM,RGMA,3,5:37:00 AM,1:49,6,175,1.816666667,0.857142857,35,1250,0.003472222,0.3125
17,6/25/99,7:31:00 AM,RGMA,0,5:37:00 AM,1:54,6,175,1.9,1,40,1250,0.003472222,0
18,6/27/99,6:36:00 AM,RGMA,0,5:37:00 AM,0:59,6,177,0.983333333,0,5,1250,0.003472222,0
19,6/27/99,6:41:00 AM,RGMA,0,5:37:00 AM,1:04,6,177,1.066666667,0.125,10,1250,0.003472222,0
20,6/27/99,6:46:00 AM,RGMA,0,5:37:00 AM,1:09,6,177,1.15,0.25,15,1250,0.003472222,0
21,6/27/99,6:51:00 AM,RGMA,1,5:37:00 AM,1:14,6,177,1.233333333,0.375,20,1250,0.003472222,0.104166667
22,6/27/99,6:56:00 AM,RGMA,0,5:37:00 AM,1:19,6,177,1.316666667,0.5,25,1250,0.003472222,0
23,6/27/99,7:01:00 AM,RGMA,0,5:37:00 AM,1:24,6,177,1.4,0.625,30,1250,0.003472222,0
24,6/27/99,7:06:00 AM,RGMA,2,5:37:00 AM,1:29,6,177,1.483333333,0.75,35,1250,0.003472222,0.208333333
25,6/27/99,7:11:00 AM,RGMA,0,5:37:00 AM,1:34,6,177,1.566666667,0.875,40,1250,0.003472222,0
26,6/27/99,7:16:00 AM,RGMA,0,5:37:00 AM,1:39,6,177,1.65,1,45,1250,0.003472222,0
28,6/29/99,6:40:00 AM,RGMA,0,5:37:00 AM,1:03,6,179,1.05,0,5,1250,0.003472222,0
29,6/29/99,6:45:00 AM,RGMA,0,5:37:00 AM,1:08,6,179,1.133333333,0.142857143,10,1250,0.003472222,0
30,6/29/99,6:50:00 AM,RGMA,0,5:37:00 AM,1:13,6,179,1.216666667,0.285714286,15,1250,0.003472222,0
31,6/29/99,6:55:00 AM,RGMA,0,5:37:00 AM,1:18,6,179,1.3,0.428571429,20,1250,0.003472222,0
32,6/29/99,7:00:00 AM,RGMA,0,5:37:00 AM,1:23,6,179,1.383333333,0.571428571,25,1250,0.003472222,0
33,6/29/99,7:05:00 AM,RGMA,0,5:37:00 AM,1:28,6,179,1.466666667,0.714285714,30,1250,0.003472222,0
34,6/29/99,7:10:00 AM,RGMA,0,5:37:00 AM,1:33,6,179,1.55,0.857142857,35,1250,0.003472222,0
35,6/29/99,7:15:00 AM,RGMA,0,5:37:00 AM,1:38,6,179,1.633333333,1,40,1250,0.003472222,0
36,7/3/99,6:19:00 AM,RGMA,0,5:38:00 AM,0:41,7,183,0.683333333,0,5,1250,0.003472222,0
37,7/3/99,6:24:00 AM,RGMA,0,5:38:00 AM,0:46,7,183,0.766666667,0.1,10,1250,0.003472222,0
38,7/3/99,6:29:00 AM,RGMA,0,5:38:00 AM,0:51,7,183,0.85,0.2,15,1250,0.003472222,0
39,7/3/99,6:34:00 AM,RGMA,0,5:38:00 AM,0:56,7,183,0.933333333,0.3,20,1250,0.003472222,0
40,7/3/99,6:39:00 AM,RGMA,0,5:38:00 AM,1:01,7,183,1.016666667,0.4,25,1250,0.003472222,0
41,7/3/99,6:44:00 AM,RGMA,0,5:38:00 AM,1:06,7,183,1.1,0.5,30,1250,0.003472222,0
42,7/3/99,6:49:00 AM,RGMA,0,5:38:00 AM,1:11,7,183,1.183333333,0.6,35,1250,0.003472222,0
43,7/3/99,6:54:00 AM,RGMA,0,5:38:00 AM,1:16,7,183,1.266666667,0.7,40,1250,0.003472222,0
44,7/3/99,6:59:00 AM,RGMA,0,5:38:00 AM,1:21,7,183,1.35,0.8,45,1250,0.003472222,0
45,7/3/99,7:04:00 AM,RGMA,0,5:38:00 AM,1:26,7,183,1.433333333,0.9,50,1250,0.003472222,0
46,7/3/99,7:09:00 AM,RGMA,0,5:38:00 AM,1:31,7,183,1.516666667,1,55,1250,0.003472222,0
47,7/4/99,6:43:00 AM,RGMA,0,5:38:00 AM,1:05,7,184,1.083333333,0,5,1250,0.003472222,0
48,7/4/99,6:48:00 AM,RGMA,0,5:38:00 AM,1:10,7,184,1.166666667,0.083333333,10,1250,0.003472222,0
49,7/4/99,6:53:00 AM,RGMA,0,5:38:00 AM,1:15,7,184,1.25,0.166666667,15,1250,0.003472222,0
50,7/4/99,6:58:00 AM,RGMA,0,5:38:00 AM,1:20,7,184,1.333333333,0.25,20,1250,0.003472222,0
51,7/4/99,7:03:00 AM,RGMA,0,5:38:00 AM,1:25,7,184,1.416666667,0.333333333,25,1250,0.003472222,0
52,7/4/99,7:08:00 AM,RGMA,0,5:38:00 AM,1:30,7,184,1.5,0.416666667,30,1250,0.003472222,0
53,7/4/99,7:13:00 AM,RGMA,0,5:38:00 AM,1:35,7,184,1.583333333,0.5,35,1250,0.003472222,0
54,7/4/99,7:18:00 AM,RGMA,0,5:38:00 AM,1:40,7,184,1.666666667,0.583333333,40,1250,0.003472222,0
55,7/4/99,7:23:00 AM,RGMA,0,5:38:00 AM,1:45,7,184,1.75,0.666666667,45,1250,0.003472222,0
56,7/4/99,7:28:00 AM,RGMA,0,5:38:00 AM,1:50,7,184,1.833333333,0.75,50,1250,0.003472222,0
57,7/4/99,7:33:00 AM,RGMA,0,5:38:00 AM,1:55,7,184,1.916666667,0.833333333,55,1250,0.003472222,0
58,7/4/99,7:38:00 AM,RGMA,0,5:38:00 AM,2:00,7,184,2,0.916666667,60,1250,0.003472222,0
59,7/4/99,7:43:00 AM,RGMA,0,5:38:00 AM,2:05,7,184,2.083333333,1,65,1250,0.003472222,0
60,7/6/99,6:30:00 AM,RGMA,0,5:38:00 AM,0:52,7,186,0.866666667,0,5,1250,0.003472222,0
61,7/6/99,6:35:00 AM,RGMA,0,5:38:00 AM,0:57,7,186,0.95,0.142857143,10,1250,0.003472222,0
62,7/6/99,6:40:00 AM,RGMA,0,5:38:00 AM,1:02,7,186,1.033333333,0.285714286,15,1250,0.003472222,0
63,7/6/99,6:45:00 AM,RGMA,0,5:38:00 AM,1:07,7,186,1.116666667,0.428571429,20,1250,0.003472222,0
64,7/6/99,6:50:00 AM,RGMA,0,5:38:00 AM,1:12,7,186,1.2,0.571428571,25,1250,0.003472222,0
65,7/6/99,6:55:00 AM,RGMA,0,5:38:00 AM,1:17,7,186,1.283333333,0.714285714,30,1250,0.003472222,0
66,7/6/99,7:00:00 AM,RGMA,0,5:38:00 AM,1:22,7,186,1.366666667,0.857142857,35,1250,0.003472222,0
67,7/6/99,7:05:00 AM,RGMA,0,5:38:00 AM,1:27,7,186,1.45,1,40,1250,0.003472222,0
69,7/8/99,6:25:00 AM,RGMA,0,5:38:00 AM,0:47,7,188,0.783333333,0,5,1250,0.003472222,0
70,7/8/99,6:30:00 AM,RGMA,0,5:38:00 AM,0:52,7,188,0.866666667,0.083333333,10,1250,0.003472222,0
71,7/8/99,6:35:00 AM,RGMA,0,5:38:00 AM,0:57,7,188,0.95,0.166666667,15,1250,0.003472222,0
72,7/8/99,6:40:00 AM,RGMA,0,5:38:00 AM,1:02,7,188,1.033333333,0.25,20,1250,0.003472222,0
73,7/8/99,6:45:00 AM,RGMA,0,5:38:00 AM,1:07,7,188,1.116666667,0.333333333,25,1250,0.003472222,0
74,7/8/99,6:50:00 AM,RGMA,0,5:38:00 AM,1:12,7,188,1.2,0.416666667,30,1250,0.003472222,0
75,7/8/99,6:55:00 AM,RGMA,0,5:38:00 AM,1:17,7,188,1.283333333,0.5,35,1250,0.003472222,0
76,7/8/99,7:00:00 AM,RGMA,0,5:38:00 AM,1:22,7,188,1.366666667,0.583333333,40,1250,0.003472222,0
77,7/8/99,7:05:00 AM,RGMA,0,5:38:00 AM,1:27,7,188,1.45,0.666666667,45,1250,0.003472222,0
78,7/8/99,7:10:00 AM,RGMA,0,5:38:00 AM,1:32,7,188,1.533333333,0.75,50,1250,0.003472222,0
79,7/8/99,7:15:00 AM,RGMA,0,5:38:00 AM,1:37,7,188,1.616666667,0.833333333,55,1250,0.003472222,0
80,7/8/99,7:20:00 AM,RGMA,0,5:38:00 AM,1:42,7,188,1.7,0.916666667,60,1250,0.003472222,0
81,7/8/99,7:25:00 AM,RGMA,0,5:38:00 AM,1:47,7,188,1.783333333,1,65,1250,0.003472222,0
82,7/8/99,10:21:00 AM,RGMA,6,5:38:00 AM,4:43,7,188,4.716666667,3.933333333,NA,1250,0.000694444,0.125
83,7/8/99,10:22:00 AM,RGMA,,5:38:00 AM,4:44,7,188,4.733333333,3.95,NA,1250,0.000694444,0
84,7/8/99,10:23:00 AM,RGMA,3,5:38:00 AM,4:45,7,188,4.75,3.966666667,NA,1250,0.000694444,0.0625
85,7/8/99,10:24:00 AM,RGMA,1,5:38:00 AM,4:46,7,188,4.766666667,3.983333333,NA,1250,0.000694444,0.020833333
86,7/8/99,10:25:00 AM,RGMA,2,5:38:00 AM,4:47,7,188,4.783333333,4,NA,1250,0.000694444,0.041666667
87,7/8/99,11:22:00 AM,RGMA,1,5:38:00 AM,5:44,7,188,5.733333333,4.95,NA,1250,0.000694444,0.020833333
88,7/8/99,11:23:00 AM,RGMA,8,5:38:00 AM,5:45,7,188,5.75,4.966666667,NA,1250,0.000694444,0.166666667
89,7/8/99,11:24:00 AM,RGMA,10,5:38:00 AM,5:46,7,188,5.766666667,4.983333333,NA,1250,0.000694444,0.208333333
90,7/8/99,11:25:00 AM,RGMA,8,5:38:00 AM,5:47,7,188,5.783333333,5,NA,1250,0.000694444,0.166666667
91,7/8/99,11:26:00 AM,RGMA,10,5:38:00 AM,5:48,7,188,5.8,5.016666667,NA,1250,0.000694444,0.208333333
92,7/8/99,11:27:00 AM,RGMA,10,5:38:00 AM,5:49,7,188,5.816666667,5.033333333,NA,1250,0.000694444,0.208333333
93,7/8/99,11:28:00 AM,RGMA,8,5:38:00 AM,5:50,7,188,5.833333333,5.05,NA,1250,0.000694444,0.166666667
94,7/8/99,11:29:00 AM,RGMA,14,5:38:00 AM,5:51,7,188,5.85,5.066666667,NA,1250,0.000694444,0.291666667
95,7/8/99,11:30:00 AM,RGMA,8,5:38:00 AM,5:52,7,188,5.866666667,5.083333333,NA,1250,0.000694444,0.166666667
96,7/8/99,11:31:00 AM,RGMA,12,5:38:00 AM,5:53,7,188,5.883333333,5.1,NA,1250,0.000694444,0.25
97,7/8/99,11:32:00 AM,RGMA,15,5:38:00 AM,5:54,7,188,5.9,5.116666667,NA,1250,0.000694444,0.3125
98,7/8/99,11:33:00 AM,RGMA,13,5:38:00 AM,5:55,7,188,5.916666667,5.133333333,NA,1250,0.000694444,0.270833333
99,7/8/99,11:34:00 AM,RGMA,9,5:38:00 AM,5:56,7,188,5.933333333,5.15,NA,1250,0.000694444,0.1875
100,7/8/99,11:35:00 AM,RGMA,14,5:38:00 AM,5:57,7,188,5.95,5.166666667,NA,1250,0.000694444,0.291666667
101,7/8/99,11:36:00 AM,RGMA,15,5:38:00 AM,5:58,7,188,5.966666667,5.183333333,NA,1250,0.000694444,0.3125
